,TWI,Ln(TWI),,,TB (Bloomberg),TB 12 M Sum,,,Trade Balance ,Net non-treasury portfolio flows,Basic Balance 
1993-01,87.66,4.47,,1993-01,,,,,,,
1993-02,87.95,4.48,,1993-02,,,,,,,
1993-03,87.26,4.47,,1993-03,,,,,,,
1993-04,85.33,4.45,,1993-04,,,,,,,
1993-05,85.05,4.44,,1993-05,,,,,,,
1993-06,85.64,4.45,,1993-06,-6.929,,,,,,
1993-07,87.57,4.47,,1993-07,-6.382,,,,,,
1993-08,87.87,4.48,,1993-08,-5.581,,,,,,
1993-09,86.01,4.45,,1993-09,-7.031,,,,,,
1993-10,87.08,4.47,,1993-10,-6.594,,,,,,
1993-11,88.34,4.48,,1993-11,-7.016,,,,,,
1993-12,89.11,4.49,,1993-12,-5.719,,,,,,
1994-01,89.49,4.49,,1994-01,-6.207,,,,,,
1994-02,88.85,4.49,,1994-02,-9.245,,,,,,
1994-03,88.61,4.48,,1994-03,-6.466,,,,,,
1994-04,88.89,4.49,,1994-04,-7.887,,,,,,
1994-05,88.07,4.48,,1994-05,-7.728,-82.8,,May-94,-82.79,-34.05,-116.84
1994-06,87.22,4.47,,1994-06,-8.38,-84.2,,Jun-94,-84.24,-23.06,-107.29
1994-07,85.19,4.44,,1994-07,-8.739,-86.6,,Jul-94,-86.59,-7.34,-93.93
1994-08,85.42,4.45,,1994-08,-8.303,-89.3,,Aug-94,-89.32,4.89,-84.43
1994-09,84.39,4.44,,1994-09,-8.31,-90.6,,Sep-94,-90.59,13.68,-76.91
1994-10,83.55,4.43,,1994-10,-9.158,-93.2,,Oct-94,-93.16,5.49,-87.67
1994-11,84.43,4.44,,1994-11,-9.615,-95.8,,Nov-94,-95.76,2.46,-93.30
1994-12,85.97,4.45,,1994-12,-8.456,-98.5,,Dec-94,-98.49,4.25,-94.24
1995-01,85.62,4.45,,1995-01,-9.324,-101.6,,Jan-95,-101.61,13.23,-88.39
1995-02,84.72,4.44,,1995-02,-8.817,-101.2,,Feb-95,-101.18,18.90,-82.28
1995-03,81.97,4.41,,1995-03,-9.708,-104.4,,Mar-95,-104.43,10.78,-93.65
1995-04,80.01,4.38,,1995-04,-9.609,-106.1,,Apr-95,-106.15,18.43,-87.71
1995-05,80.83,4.39,,1995-05,-9.09,-107.5,,May-95,-107.51,15.27,-92.24
1995-06,80.47,4.39,,1995-06,-10.623,-109.8,,Jun-95,-109.75,10.38,-99.37
1995-07,80.20,4.38,,1995-07,-7.688,-108.7,,Jul-95,-108.70,11.21,-97.50
1995-08,82.73,4.42,,1995-08,-6.704,-107.1,,Aug-95,-107.10,5.72,-101.38
1995-09,83.66,4.43,,1995-09,-5.924,-104.7,,Sep-95,-104.72,2.40,-102.31
1995-10,82.62,4.41,,1995-10,-6.114,-101.7,,Oct-95,-101.67,3.28,-98.39
1995-11,82.51,4.41,,1995-11,-6.514,-98.6,,Nov-95,-98.57,6.99,-91.59
1995-12,83.54,4.43,,1995-12,-6.271,-96.4,,Dec-95,-96.39,-0.87,-97.26
1996-01,84.05,4.43,,1996-01,-8.465,-95.5,,Jan-96,-95.53,-7.39,-102.92
1996-02,84.71,4.44,,1996-02,-7.319,-94.0,,Feb-96,-94.03,-6.65,-100.68
1996-03,84.60,4.44,,1996-03,-7.756,-92.1,,Mar-96,-92.08,-14.93,-107.00
1996-04,85.24,4.45,,1996-04,-8.744,-91.2,,Apr-96,-91.21,-13.93,-105.14
1996-05,85.67,4.45,,1996-05,-9.259,-91.4,,May-96,-91.38,-5.84,-97.22
1996-06,85.65,4.45,,1996-06,-7.46,-88.2,,Jun-96,-88.22,-5.54,-93.76
1996-07,85.56,4.45,,1996-07,-10.132,-90.7,,Jul-96,-90.66,-6.74,-97.40
1996-08,84.85,4.44,,1996-08,-10.357,-94.3,,Aug-96,-94.32,0.30,-94.01
1996-09,85.52,4.45,,1996-09,-10.195,-98.6,,Sep-96,-98.59,9.50,-89.08
1996-10,85.79,4.45,,1996-10,-6.635,-99.1,,Oct-96,-99.11,20.76,-78.35
1996-11,84.67,4.44,,1996-11,-7.268,-99.9,,Nov-96,-99.86,25.33,-74.53
1996-12,86.04,4.45,,1996-12,-10.475,-104.1,,Dec-96,-104.07,27.34,-76.73
1997-01,87.11,4.47,,1997-01,-11.269,-106.9,,Jan-97,-106.87,38.97,-67.90
1997-02,89.96,4.50,,1997-02,-9.776,-109.3,,Feb-97,-109.33,47.01,-62.32
1997-03,90.67,4.51,,1997-03,-8.383,-110.0,,Mar-97,-109.95,56.89,-53.07
1997-04,91.92,4.52,,1997-04,-8.086,-109.3,,Apr-97,-109.30,74.25,-35.05
1997-05,90.09,4.50,,1997-05,-8.394,-108.4,,May-97,-108.43,76.83,-31.60
1997-06,90.16,4.50,,1997-06,-7.154,-108.1,,Jun-97,-108.12,78.72,-29.41
1997-07,91.07,4.51,,1997-07,-7.033,-105.0,,Jul-97,-105.03,89.27,-15.76
1997-08,92.43,4.53,,1997-08,-8.743,-103.4,,Aug-97,-103.41,89.42,-13.99
1997-09,91.75,4.52,,1997-09,-9.269,-102.5,,Sep-97,-102.49,94.82,-7.66
1997-10,91.43,4.52,,1997-10,-9.089,-104.9,,Oct-97,-104.94,100.82,-4.12
1997-11,91.83,4.52,,1997-11,-9.786,-107.5,,Nov-97,-107.46,96.36,-11.09
1997-12,93.62,4.54,,1997-12,-11.289,-108.3,,Dec-97,-108.27,114.73,6.45
1998-01,95.15,4.56,,1998-01,-10.776,-107.8,,Jan-98,-107.78,124.33,16.55
1998-02,94.39,4.55,,1998-02,-11.564,-109.6,,Feb-98,-109.57,132.38,22.82
1998-03,94.25,4.55,,1998-03,-12.88,-114.1,,Mar-98,-114.06,155.91,41.85
1998-04,94.55,4.55,,1998-04,-13.94,-119.9,,Apr-98,-119.92,149.74,29.83
1998-05,95.11,4.56,,1998-05,-14.202,-125.7,,May-98,-125.73,152.97,27.25
1998-06,96.72,4.57,,1998-06,-13.247,-131.8,,Jun-98,-131.82,164.87,33.05
1998-07,97.10,4.58,,1998-07,-13.949,-138.7,,Jul-98,-138.73,171.46,32.72
1998-08,98.44,4.59,,1998-08,-16.028,-146.0,,Aug-98,-146.02,177.26,31.24
1998-09,94.52,4.55,,1998-09,-14.82,-151.6,,Sep-98,-151.57,172.48,20.91
1998-10,91.78,4.52,,1998-10,-14.815,-157.3,,Oct-98,-157.30,192.85,35.56
1998-11,93.17,4.53,,1998-11,-15.173,-162.7,,Nov-98,-162.68,211.90,49.22
1998-12,92.10,4.52,,1998-12,-14.745,-166.1,,Dec-98,-166.14,217.62,51.48
1999-01,92.83,4.53,,1999-01,-15.944,-171.3,,Jan-99,-171.31,217.31,46.01
1999-02,93.97,4.54,,1999-02,-19.23,-179.0,,Feb-99,-178.97,223.13,44.15
1999-03,95.40,4.56,,1999-03,-18.551,-184.6,,Mar-99,-184.64,227.88,43.24
1999-04,95.18,4.56,,1999-04,-18.803,-189.5,,Apr-99,-189.51,254.20,64.69
1999-05,95.69,4.56,,1999-05,-20.998,-196.3,,May-99,-196.30,267.49,71.18
1999-06,95.88,4.56,,1999-06,-23.628,-206.7,,Jun-99,-206.68,296.96,90.27
1999-07,95.45,4.56,,1999-07,-24.156,-216.9,,Jul-99,-216.89,311.74,94.85
1999-08,94.72,4.55,,1999-08,-23.654,-224.5,,Aug-99,-224.52,322.71,98.19
1999-09,92.82,4.53,,1999-09,-23.662,-233.4,,Sep-99,-233.36,348.14,114.78
1999-10,93.54,4.54,,1999-10,-24.145,-242.7,,Oct-99,-242.69,341.79,99.10
1999-11,94.06,4.54,,1999-11,-25.745,-253.3,,Nov-99,-253.26,361.87,108.61
1999-12,93.84,4.54,,1999-12,-26.568,-265.1,,Dec-99,-265.08,370.08,104.99
2000-01,99.28,4.60,,2000-01,-27.582,-276.7,,Jan-00,-276.72,379.12,102.40
